GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GB7001
"G4700710","2000","3","6","Tennessee","47","Hardin","071",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hardin County",69200
"G4700730","2000","3","6","Tennessee","47","Hawkins","073",,,,,,,,,,,,,"3660","9999","9999",,,,,,,,"Hawkins County",82500
"G4700750","2000","3","6","Tennessee","47","Haywood","075",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Haywood County",68400
"G4700770","2000","3","6","Tennessee","47","Henderson","077",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Henderson County",74000
"G4700790","2000","3","6","Tennessee","47","Henry","079",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Henry County",75800
"G4700810","2000","3","6","Tennessee","47","Hickman","081",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Hickman County",79600
"G4700830","2000","3","6","Tennessee","47","Houston","083",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Houston County",63300
"G4700850","2000","3","6","Tennessee","47","Humphreys","085",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Humphreys County",76000
"G4700870","2000","3","6","Tennessee","47","Jackson","087",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jackson County",68800
"G4700890","2000","3","6","Tennessee","47","Jefferson","089",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Jefferson County",88800
"G4700910","2000","3","6","Tennessee","47","Johnson","091",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Johnson County",72200
"G4700930","2000","3","6","Tennessee","47","Knox","093",,,,,,,,,,,,,"3840","9999","9999",,,,,,,,"Knox County",98500
"G4700950","2000","3","6","Tennessee","47","Lake","095",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lake County",53000
"G4700970","2000","3","6","Tennessee","47","Lauderdale","097",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lauderdale County",59900
"G4700990","2000","3","6","Tennessee","47","Lawrence","099",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lawrence County",72400
"G4701010","2000","3","6","Tennessee","47","Lewis","101",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lewis County",66700
"G4701030","2000","3","6","Tennessee","47","Lincoln","103",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Lincoln County",73900
"G4701050","2000","3","6","Tennessee","47","Loudon","105",,,,,,,,,,,,,"3840","9999","9999",,,,,,,,"Loudon County",97300
"G4701070","2000","3","6","Tennessee","47","McMinn","107",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"McMinn County",80300
"G4701090","2000","3","6","Tennessee","47","McNairy","109",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"McNairy County",61400
"G4701110","2000","3","6","Tennessee","47","Macon","111",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Macon County",67700
"G4701130","2000","3","6","Tennessee","47","Madison","113",,,,,,,,,,,,,"3580","9999","9999",,,,,,,,"Madison County",85100
"G4701150","2000","3","6","Tennessee","47","Marion","115",,,,,,,,,,,,,"1560","9999","9999",,,,,,,,"Marion County",76100
"G4701170","2000","3","6","Tennessee","47","Marshall","117",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Marshall County",83800
"G4701190","2000","3","6","Tennessee","47","Maury","119",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Maury County",96800
"G4701210","2000","3","6","Tennessee","47","Meigs","121",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Meigs County",87200
"G4701230","2000","3","6","Tennessee","47","Monroe","123",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Monroe County",79400
"G4701250","2000","3","6","Tennessee","47","Montgomery","125",,,,,,,,,,,,,"1660","9999","9999",,,,,,,,"Montgomery County",85100
"G4701270","2000","3","6","Tennessee","47","Moore","127",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Moore County",85600
"G4701290","2000","3","6","Tennessee","47","Morgan","129",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Morgan County",60200
"G4701310","2000","3","6","Tennessee","47","Obion","131",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Obion County",67500
"G4701330","2000","3","6","Tennessee","47","Overton","133",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Overton County",71600
"G4701350","2000","3","6","Tennessee","47","Perry","135",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Perry County",62600
"G4701370","2000","3","6","Tennessee","47","Pickett","137",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Pickett County",66900
"G4701390","2000","3","6","Tennessee","47","Polk","139",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Polk County",72100
"G4701410","2000","3","6","Tennessee","47","Putnam","141",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Putnam County",92600
"G4701430","2000","3","6","Tennessee","47","Rhea","143",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Rhea County",76700
"G4701450","2000","3","6","Tennessee","47","Roane","145",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Roane County",86500
"G4701470","2000","3","6","Tennessee","47","Robertson","147",,,,,,,,,,,,,"5360","9999","9999",,,,,,,,"Robertson County",107300
"G4701490","2000","3","6","Tennessee","47","Rutherford","149",,,,,,,,,,,,,"5360","9999","9999",,,,,,,,"Rutherford County",113500
"G4701510","2000","3","6","Tennessee","47","Scott","151",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Scott County",60300
"G4701530","2000","3","6","Tennessee","47","Sequatchie","153",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Sequatchie County",80300
"G4701550","2000","3","6","Tennessee","47","Sevier","155",,,,,,,,,,,,,"3840","9999","9999",,,,,,,,"Sevier County",112500
"G4701570","2000","3","6","Tennessee","47","Shelby","157",,,,,,,,,,,,,"4920","9999","9999",,,,,,,,"Shelby County",92200
"G4701590","2000","3","6","Tennessee","47","Smith","159",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Smith County",87100
"G4701610","2000","3","6","Tennessee","47","Stewart","161",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Stewart County",76800
"G4701630","2000","3","6","Tennessee","47","Sullivan","163",,,,,,,,,,,,,"3660","9999","9999",,,,,,,,"Sullivan County",88000
"G4701650","2000","3","6","Tennessee","47","Sumner","165",,,,,,,,,,,,,"5360","9999","9999",,,,,,,,"Sumner County",125800
"G4701670","2000","3","6","Tennessee","47","Tipton","167",,,,,,,,,,,,,"4920","9999","9999",,,,,,,,"Tipton County",91500
"G4701690","2000","3","6","Tennessee","47","Trousdale","169",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Trousdale County",76800
"G4701710","2000","3","6","Tennessee","47","Unicoi","171",,,,,,,,,,,,,"3660","9999","9999",,,,,,,,"Unicoi County",82400
"G4701730","2000","3","6","Tennessee","47","Union","173",,,,,,,,,,,,,"3840","9999","9999",,,,,,,,"Union County",79000
"G4701750","2000","3","6","Tennessee","47","Van Buren","175",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Van Buren County",55800
"G4701770","2000","3","6","Tennessee","47","Warren","177",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Warren County",72800
"G4701790","2000","3","6","Tennessee","47","Washington","179",,,,,,,,,,,,,"3660","9999","9999",,,,,,,,"Washington County",96700
"G4701810","2000","3","6","Tennessee","47","Wayne","181",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Wayne County",56600
"G4701830","2000","3","6","Tennessee","47","Weakley","183",,,,,,,,,,,,,"9999","9999","9999",,,,,,,,"Weakley County",67900
