GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AB2AA,AB2AAM
G3900170,2008-2012,Ohio,39,390,Butler County,17,170,"Butler County, Ohio",69421,888
G3900190,2008-2012,Ohio,39,390,Carroll County,19,190,"Carroll County, Ohio",51312,2319
G3900210,2008-2012,Ohio,39,390,Champaign County,21,210,"Champaign County, Ohio",59804,3946
G3900230,2008-2012,Ohio,39,390,Clark County,23,230,"Clark County, Ohio",54153,1145
G3900250,2008-2012,Ohio,39,390,Clermont County,25,250,"Clermont County, Ohio",71322,1385
G3900270,2008-2012,Ohio,39,390,Clinton County,27,270,"Clinton County, Ohio",54914,1883
G3900290,2008-2012,Ohio,39,390,Columbiana County,29,290,"Columbiana County, Ohio",52397,1592
G3900310,2008-2012,Ohio,39,390,Coshocton County,31,310,"Coshocton County, Ohio",49020,2294
G3900330,2008-2012,Ohio,39,390,Crawford County,33,330,"Crawford County, Ohio",49518,3243
G3900350,2008-2012,Ohio,39,390,Cuyahoga County,35,350,"Cuyahoga County, Ohio",59523,727
G3900370,2008-2012,Ohio,39,390,Darke County,37,370,"Darke County, Ohio",54499,1966
G3900390,2008-2012,Ohio,39,390,Defiance County,39,390,"Defiance County, Ohio",56052,2834
G3900410,2008-2012,Ohio,39,390,Delaware County,41,410,"Delaware County, Ohio",104576,2151
G3900430,2008-2012,Ohio,39,390,Erie County,43,430,"Erie County, Ohio",62207,2251
G3900450,2008-2012,Ohio,39,390,Fairfield County,45,450,"Fairfield County, Ohio",68677,1420
G3900470,2008-2012,Ohio,39,390,Fayette County,47,470,"Fayette County, Ohio",47000,3016
G3900490,2008-2012,Ohio,39,390,Franklin County,49,490,"Franklin County, Ohio",64610,771
G3900510,2008-2012,Ohio,39,390,Fulton County,51,510,"Fulton County, Ohio",61370,1484
G3900530,2008-2012,Ohio,39,390,Gallia County,53,530,"Gallia County, Ohio",49848,3320
G3900550,2008-2012,Ohio,39,390,Geauga County,55,550,"Geauga County, Ohio",80004,2931
G3900570,2008-2012,Ohio,39,390,Greene County,57,570,"Greene County, Ohio",73760,2150
G3900590,2008-2012,Ohio,39,390,Guernsey County,59,590,"Guernsey County, Ohio",49950,2269
G3900610,2008-2012,Ohio,39,390,Hamilton County,61,610,"Hamilton County, Ohio",65917,757
G3900630,2008-2012,Ohio,39,390,Hancock County,63,630,"Hancock County, Ohio",61756,1529
G3900650,2008-2012,Ohio,39,390,Hardin County,65,650,"Hardin County, Ohio",52795,2496
G3900670,2008-2012,Ohio,39,390,Harrison County,67,670,"Harrison County, Ohio",47680,2275
G3900690,2008-2012,Ohio,39,390,Henry County,69,690,"Henry County, Ohio",59786,4095
G3900710,2008-2012,Ohio,39,390,Highland County,71,710,"Highland County, Ohio",47777,2575
G3900730,2008-2012,Ohio,39,390,Hocking County,73,730,"Hocking County, Ohio",50504,2796
G3900750,2008-2012,Ohio,39,390,Holmes County,75,750,"Holmes County, Ohio",49417,2739
G3900770,2008-2012,Ohio,39,390,Huron County,77,770,"Huron County, Ohio",55371,1779
G3900790,2008-2012,Ohio,39,390,Jackson County,79,790,"Jackson County, Ohio",44794,3381
G3900810,2008-2012,Ohio,39,390,Jefferson County,81,810,"Jefferson County, Ohio",51037,1525
G3900830,2008-2012,Ohio,39,390,Knox County,83,830,"Knox County, Ohio",58461,3008
G3900850,2008-2012,Ohio,39,390,Lake County,85,850,"Lake County, Ohio",70018,1516
G3900870,2008-2012,Ohio,39,390,Lawrence County,87,870,"Lawrence County, Ohio",51181,1638
G3900890,2008-2012,Ohio,39,390,Licking County,89,890,"Licking County, Ohio",66254,1133
G3900910,2008-2012,Ohio,39,390,Logan County,91,910,"Logan County, Ohio",54870,2171
G3900930,2008-2012,Ohio,39,390,Lorain County,93,930,"Lorain County, Ohio",62981,1061
G3900950,2008-2012,Ohio,39,390,Lucas County,95,950,"Lucas County, Ohio",54830,957
G3900970,2008-2012,Ohio,39,390,Madison County,97,970,"Madison County, Ohio",66928,3535
G3900990,2008-2012,Ohio,39,390,Mahoning County,99,990,"Mahoning County, Ohio",54653,1056
G3901010,2008-2012,Ohio,39,390,Marion County,101,1010,"Marion County, Ohio",52124,1926
G3901030,2008-2012,Ohio,39,390,Medina County,103,1030,"Medina County, Ohio",77423,1677
G3901050,2008-2012,Ohio,39,390,Meigs County,105,1050,"Meigs County, Ohio",43207,3690
G3901070,2008-2012,Ohio,39,390,Mercer County,107,1070,"Mercer County, Ohio",63191,3188
G3901090,2008-2012,Ohio,39,390,Miami County,109,1090,"Miami County, Ohio",62177,2400
G3901110,2008-2012,Ohio,39,390,Monroe County,111,1110,"Monroe County, Ohio",48224,3297
G3901130,2008-2012,Ohio,39,390,Montgomery County,113,1130,"Montgomery County, Ohio",56707,1030
G3901150,2008-2012,Ohio,39,390,Morgan County,115,1150,"Morgan County, Ohio",43569,3020
G3901170,2008-2012,Ohio,39,390,Morrow County,117,1170,"Morrow County, Ohio",58235,2830
G3901190,2008-2012,Ohio,39,390,Muskingum County,119,1190,"Muskingum County, Ohio",50496,1676
G3901210,2008-2012,Ohio,39,390,Noble County,121,1210,"Noble County, Ohio",44150,3200
G3901230,2008-2012,Ohio,39,390,Ottawa County,123,1230,"Ottawa County, Ohio",66291,2422
G3901250,2008-2012,Ohio,39,390,Paulding County,125,1250,"Paulding County, Ohio",57018,3040
G3901270,2008-2012,Ohio,39,390,Perry County,127,1270,"Perry County, Ohio",50241,2559
G3901290,2008-2012,Ohio,39,390,Pickaway County,129,1290,"Pickaway County, Ohio",64086,2647
G3901310,2008-2012,Ohio,39,390,Pike County,131,1310,"Pike County, Ohio",45783,3299
G3901330,2008-2012,Ohio,39,390,Portage County,133,1330,"Portage County, Ohio",66293,2797
G3901350,2008-2012,Ohio,39,390,Preble County,135,1350,"Preble County, Ohio",57882,2031
G3901370,2008-2012,Ohio,39,390,Putnam County,137,1370,"Putnam County, Ohio",72060,3045
G3901390,2008-2012,Ohio,39,390,Richland County,139,1390,"Richland County, Ohio",54273,1227
G3901410,2008-2012,Ohio,39,390,Ross County,141,1410,"Ross County, Ohio",53510,1832
G3901430,2008-2012,Ohio,39,390,Sandusky County,143,1430,"Sandusky County, Ohio",58004,2185
G3901450,2008-2012,Ohio,39,390,Scioto County,145,1450,"Scioto County, Ohio",47589,2199
G3901470,2008-2012,Ohio,39,390,Seneca County,147,1470,"Seneca County, Ohio",52347,2025
G3901490,2008-2012,Ohio,39,390,Shelby County,149,1490,"Shelby County, Ohio",61405,2680
G3901510,2008-2012,Ohio,39,390,Stark County,151,1510,"Stark County, Ohio",56741,1175
G3901530,2008-2012,Ohio,39,390,Summit County,153,1530,"Summit County, Ohio",63639,800
G3901550,2008-2012,Ohio,39,390,Trumbull County,155,1550,"Trumbull County, Ohio",53299,1062
G3901570,2008-2012,Ohio,39,390,Tuscarawas County,157,1570,"Tuscarawas County, Ohio",53184,1518
G3901590,2008-2012,Ohio,39,390,Union County,159,1590,"Union County, Ohio",77618,4134
G3901610,2008-2012,Ohio,39,390,Van Wert County,161,1610,"Van Wert County, Ohio",54860,1970
G3901630,2008-2012,Ohio,39,390,Vinton County,163,1630,"Vinton County, Ohio",38817,3579
G3901650,2008-2012,Ohio,39,390,Warren County,165,1650,"Warren County, Ohio",84445,2103
G3901670,2008-2012,Ohio,39,390,Washington County,167,1670,"Washington County, Ohio",54923,2155
G3901690,2008-2012,Ohio,39,390,Wayne County,169,1690,"Wayne County, Ohio",59911,1685
G3901710,2008-2012,Ohio,39,390,Williams County,171,1710,"Williams County, Ohio",53721,1567
G3901730,2008-2012,Ohio,39,390,Wood County,173,1730,"Wood County, Ohio",70051,1619
G3901750,2008-2012,Ohio,39,390,Wyandot County,175,1750,"Wyandot County, Ohio",59565,3291
G4000010,2008-2012,Oklahoma,40,400,Adair County,1,10,"Adair County, Oklahoma",37800,2794
G4000030,2008-2012,Oklahoma,40,400,Alfalfa County,3,30,"Alfalfa County, Oklahoma",56378,4200
G4000050,2008-2012,Oklahoma,40,400,Atoka County,5,50,"Atoka County, Oklahoma",41896,2530
G4000070,2008-2012,Oklahoma,40,400,Beaver County,7,70,"Beaver County, Oklahoma",59286,7034
G4000090,2008-2012,Oklahoma,40,400,Beckham County,9,90,"Beckham County, Oklahoma",61933,4150
G4000110,2008-2012,Oklahoma,40,400,Blaine County,11,110,"Blaine County, Oklahoma",49492,2300
G4000130,2008-2012,Oklahoma,40,400,Bryan County,13,130,"Bryan County, Oklahoma",46645,2107
G4000150,2008-2012,Oklahoma,40,400,Caddo County,15,150,"Caddo County, Oklahoma",46223,1937
G4000170,2008-2012,Oklahoma,40,400,Canadian County,17,170,"Canadian County, Oklahoma",71760,1820
G4000190,2008-2012,Oklahoma,40,400,Carter County,19,190,"Carter County, Oklahoma",52843,2242
G4000210,2008-2012,Oklahoma,40,400,Cherokee County,21,210,"Cherokee County, Oklahoma",44275,2614
G4000230,2008-2012,Oklahoma,40,400,Choctaw County,23,230,"Choctaw County, Oklahoma",40455,4061
